id_pelanggan,kota_kabupaten_pelanggan,provinsi_pelanggan
CUST001393,Sabang,Aceh
CUST001394,Musi Banyuasin,Sumatera Selatan
CUST001395,Sibolga,Sumatera Utara
CUST001396,Banda Aceh,Aceh
CUST001397,Bandar Lampung,Lampung
CUST001398,Bungo,Jambi
CUST001399,Pariaman,Sumatera Barat
CUST001400,Pariaman,Sumatera Barat
CUST001401,Bengkulu Selatan,Bengkulu
CUST001402,Bengkulu Tengah,Bengkulu
CUST001403,Bengkulu Tengah,Bengkulu
CUST001404,Tanjungbalai,Sumatera Utara
CUST001405,Bangka,Kepulauan Bangka Belitung
CUST001406,Palembang,Sumatera Selatan
CUST001407,Sawahlunto,Sumatera Barat
CUST001408,Bengkulu Utara,Bengkulu
CUST001409,Solok,Sumatera Barat
CUST001410,Pelalawan,Riau
CUST001411,Banda Aceh,Aceh
CUST001412,Bungo,Jambi
CUST001413,Bangka Selatan,Kepulauan Bangka Belitung
CUST001414,Bangka Selatan,Kepulauan Bangka Belitung
CUST001415,Dumai,Riau
CUST001416,Lampung Barat,Lampung
CUST001417,Padangpanjang,Sumatera Barat
CUST001418,Kampar,Riau
CUST001419,Medan,Sumatera Utara
CUST001420,Bengkulu Utara,Bengkulu
CUST001421,Langsa,Aceh
CUST001422,Pekanbaru,Riau
CUST001423,Sibolga,Sumatera Utara
CUST001424,Sabang,Aceh
CUST001425,Natuna,Kepulauan Riau
CUST001426,Langsa,Aceh
CUST001427,Sabang,Aceh
CUST001428,Metro,Lampung
CUST001429,Bangka,Kepulauan Bangka Belitung
CUST001430,Langsa,Aceh
CUST001431,Bangka Barat,Kepulauan Bangka Belitung
CUST001432,Pelalawan,Riau
CUST001433,Bintan,Kepulauan Riau
CUST001434,Lingga,Kepulauan Riau
CUST001435,Lubuklinggau,Sumatera Selatan
CUST001436,Sungai Penuh,Jambi
CUST001437,Bangka,Kepulauan Bangka Belitung
CUST001438,Bengkulu Selatan,Bengkulu
CUST001439,Jambi,Jambi
CUST001440,Bangka Tengah,Kepulauan Bangka Belitung
CUST001441,Solok,Sumatera Barat
CUST001442,Bengkulu Utara,Bengkulu
CUST001443,Bandar Lampung,Lampung
CUST001444,Musi Banyuasin,Sumatera Selatan
CUST001445,Kepahiang,Bengkulu
CUST001446,Bangka Barat,Kepulauan Bangka Belitung
CUST001447,Bengkulu Tengah,Bengkulu
CUST001448,Padangpanjang,Sumatera Barat
CUST001449,Rejang Lebong,Bengkulu
CUST001450,Bangka Selatan,Kepulauan Bangka Belitung
CUST001451,Pelalawan,Riau
CUST001452,Bengkalis,Riau
CUST001453,Pariaman,Sumatera Barat
CUST001454,Bandar Lampung,Lampung
CUST001455,Bangka Selatan,Kepulauan Bangka Belitung
CUST001456,Bengkulu Utara,Bengkulu
CUST001457,Bangka,Kepulauan Bangka Belitung
CUST001458,Rejang Lebong,Bengkulu
CUST001459,Sungai Penuh,Jambi
CUST001460,Musi Banyuasin,Sumatera Selatan
CUST001461,Pematangsiantar,Sumatera Utara
CUST001462,Palembang,Sumatera Selatan
CUST001463,Belitung,Kepulauan Bangka Belitung
CUST001464,Pekanbaru,Riau
CUST001465,Bungo,Jambi
CUST001466,Lingga,Kepulauan Riau
CUST001467,Banda Aceh,Aceh
CUST001468,Pelalawan,Riau
CUST001469,Natuna,Kepulauan Riau
CUST001470,Bangka,Kepulauan Bangka Belitung
CUST001471,Metro,Lampung
CUST001472,Pagar Alam,Sumatera Selatan
CUST001473,Langsa,Aceh
CUST001474,Kampar,Riau
CUST001475,Tanjungbalai,Sumatera Utara
CUST001476,Metro,Lampung
CUST001477,Natuna,Kepulauan Riau
CUST001478,Indragiri Hilir,Riau
CUST001479,Indragiri Hulu,Riau
CUST001480,Ogan Komering Ilir,Sumatera Selatan
CUST001481,Bungo,Jambi
CUST001482,Lampung Tengah,Lampung
CUST001483,Pagar Alam,Sumatera Selatan
CUST001484,Batanghari,Jambi
CUST001485,Bangka Selatan,Kepulauan Bangka Belitung
CUST001486,Bandar Lampung,Lampung
CUST001487,Lampung Utara,Lampung
CUST001488,Lubuklinggau,Sumatera Selatan
CUST001489,Pagar Alam,Sumatera Selatan
CUST001490,Bengkulu,Bengkulu
CUST001491,Batam,Kepulauan Riau
CUST001492,Padang,Sumatera Barat
CUST001493,Kerinci,Jambi
CUST001494,Lingga,Kepulauan Riau
CUST001495,Bengkulu Selatan,Bengkulu
CUST001496,Bukittinggi,Sumatera Barat
CUST001497,Lubuklinggau,Sumatera Selatan
CUST001498,Bengkulu Utara,Bengkulu
CUST001499,Indragiri Hilir,Riau
CUST001500,Belitung,Kepulauan Bangka Belitung
CUST001501,Pagar Alam,Sumatera Selatan
CUST001502,Lampung Timur,Lampung
CUST001503,Lampung Selatan,Lampung
CUST001504,Solok,Sumatera Barat
CUST001505,Lubuklinggau,Sumatera Selatan
CUST001506,Solok,Sumatera Barat
CUST001507,Bangka Selatan,Kepulauan Bangka Belitung
CUST001508,Sawahlunto,Sumatera Barat
CUST001509,Subulussalam,Aceh
CUST001510,Banda Aceh,Aceh
CUST001511,Banda Aceh,Aceh
CUST001512,Rejang Lebong,Bengkulu
CUST001513,Pekanbaru,Riau
CUST001514,Padang,Sumatera Barat
CUST001515,Indragiri Hulu,Riau
CUST001516,Lampung Barat,Lampung
CUST001517,Subulussalam,Aceh
CUST001518,Karimun,Kepulauan Riau
CUST001519,Bandar Lampung,Lampung
CUST001520,Subulussalam,Aceh
CUST001521,Bangka Selatan,Kepulauan Bangka Belitung
CUST001522,Banda Aceh,Aceh
CUST001523,Belitung,Kepulauan Bangka Belitung
CUST001524,Kerinci,Jambi
CUST001525,Jambi,Jambi
CUST001526,Belitung Timur,Kepulauan Bangka Belitung
CUST001527,Kepahiang,Bengkulu
CUST001528,Padang,Sumatera Barat
CUST001529,Sibolga,Sumatera Utara
CUST001530,Bukittinggi,Sumatera Barat
CUST001531,Indragiri Hulu,Riau
CUST001532,Bangka Barat,Kepulauan Bangka Belitung
CUST001533,Pagar Alam,Sumatera Selatan
CUST001534,Bengkulu,Bengkulu
CUST001535,Prabumulih,Sumatera Selatan
CUST001536,Lampung Tengah,Lampung
CUST001537,Kampar,Riau
CUST001538,Bengkalis,Riau
CUST001539,Tanjungbalai,Sumatera Utara
CUST001540,Banda Aceh,Aceh
CUST001541,Bengkulu Tengah,Bengkulu
CUST001542,Bengkulu Utara,Bengkulu
CUST001543,Bandar Lampung,Lampung
CUST001544,Langsa,Aceh
CUST001545,Pematangsiantar,Sumatera Utara
CUST001546,Kaur,Bengkulu
CUST001547,Lahat,Sumatera Selatan
CUST001548,Sibolga,Sumatera Utara
CUST001549,Langsa,Aceh
CUST001550,Pelalawan,Riau
CUST001551,Karimun,Kepulauan Riau
CUST001552,Jambi,Jambi
CUST001553,Tanjungbalai,Sumatera Utara
CUST001554,Kerinci,Jambi
CUST001555,Natuna,Kepulauan Riau
CUST001556,Langsa,Aceh
CUST001557,Palembang,Sumatera Selatan
CUST001558,Indragiri Hulu,Riau
CUST001559,Pariaman,Sumatera Barat
CUST001560,Bengkulu,Bengkulu
CUST001561,Sungai Penuh,Jambi
CUST001562,Batam,Kepulauan Riau
CUST001563,Karimun,Kepulauan Riau
CUST001564,Bangka Barat,Kepulauan Bangka Belitung
CUST001565,Kepahiang,Bengkulu
CUST001566,Pariaman,Sumatera Barat
CUST001567,Sibolga,Sumatera Utara
CUST001568,Palembang,Sumatera Selatan
CUST001569,Pematangsiantar,Sumatera Utara
CUST001570,Pelalawan,Riau
CUST001571,Padangsidimpuan,Sumatera Utara
CUST001572,Lingga,Kepulauan Riau
CUST001573,Karimun,Kepulauan Riau
CUST001574,Palembang,Sumatera Selatan
CUST001575,Muaro Jambi,Jambi
CUST001576,Lampung Selatan,Lampung
CUST001577,Bengkalis,Riau
CUST001578,Bangka Selatan,Kepulauan Bangka Belitung
CUST001579,Rejang Lebong,Bengkulu
CUST001580,Natuna,Kepulauan Riau
CUST001581,Bengkulu,Bengkulu
CUST001582,Bintan,Kepulauan Riau
CUST001583,Kampar,Riau
CUST001584,Medan,Sumatera Utara
CUST001585,Sungai Penuh,Jambi
CUST001586,Kaur,Bengkulu
CUST001587,Solok,Sumatera Barat
CUST001588,Bengkulu Selatan,Bengkulu
CUST001589,Palembang,Sumatera Selatan
CUST001590,Medan,Sumatera Utara
CUST001591,Bungo,Jambi
CUST001592,Ogan Komering Ilir,Sumatera Selatan
CUST001593,Jambi,Jambi
CUST001594,Padang,Sumatera Barat
CUST001595,Payakumbuh,Sumatera Barat
CUST001596,Lampung Tengah,Lampung
CUST001597,Bangka Tengah,Kepulauan Bangka Belitung
CUST001598,Bengkulu,Bengkulu
CUST001599,Banda Aceh,Aceh
CUST001600,Lahat,Sumatera Selatan
CUST001601,Sibolga,Sumatera Utara
CUST001602,Bintan,Kepulauan Riau
CUST001603,Bengkulu,Bengkulu
CUST001604,Bungo,Jambi
CUST001605,Kepahiang,Bengkulu
CUST001606,Tanjungbalai,Sumatera Utara
CUST001607,Bangka,Kepulauan Bangka Belitung
CUST001608,Lingga,Kepulauan Riau
CUST001609,Solok,Sumatera Barat
CUST001610,Rejang Lebong,Bengkulu
CUST001611,Padangpanjang,Sumatera Barat
CUST001612,Batanghari,Jambi
CUST001613,Metro,Lampung
CUST001614,Binjai,Sumatera Utara
CUST001615,Bengkulu Selatan,Bengkulu
CUST001616,Bengkulu Selatan,Bengkulu
CUST001617,Lampung Utara,Lampung
CUST001618,Padangsidimpuan,Sumatera Utara
CUST001619,Sungai Penuh,Jambi
CUST001620,Lampung Tengah,Lampung
CUST001621,Batam,Kepulauan Riau
CUST001622,Bandar Lampung,Lampung
CUST001623,Padangpanjang,Sumatera Barat
CUST001624,Sabang,Aceh
CUST001625,Ogan Komering Ilir,Sumatera Selatan
CUST001626,Karimun,Kepulauan Riau
CUST001627,Prabumulih,Sumatera Selatan
CUST001628,Prabumulih,Sumatera Selatan
CUST001629,Batam,Kepulauan Riau
CUST001630,Batanghari,Jambi
CUST001631,Natuna,Kepulauan Riau
CUST001632,Indragiri Hilir,Riau
CUST001633,Lubuklinggau,Sumatera Selatan
CUST001634,Bengkulu Selatan,Bengkulu
CUST001635,Merangin,Jambi
CUST001636,Lampung Tengah,Lampung
CUST001637,Bengkalis,Riau
CUST001638,Bengkulu Selatan,Bengkulu
CUST001639,Bengkulu Selatan,Bengkulu
CUST001640,Sibolga,Sumatera Utara
CUST001641,Indragiri Hulu,Riau
CUST001642,Bangka,Kepulauan Bangka Belitung
CUST001643,Pangkalpinang,Kepulauan Bangka Belitung
CUST001644,Lampung Timur,Lampung
CUST001645,Indragiri Hilir,Riau
CUST001646,Muaro Jambi,Jambi
CUST001647,Tebing Tinggi,Sumatera Utara
CUST001648,Kaur,Bengkulu
CUST001649,Metro,Lampung
CUST001650,Sungai Penuh,Jambi
CUST001651,Merangin,Jambi
CUST001652,Solok,Sumatera Barat
CUST001653,Kepahiang,Bengkulu
CUST001654,Bengkulu,Bengkulu
CUST001655,Lampung Tengah,Lampung
CUST001656,Lampung Tengah,Lampung
CUST001657,Bengkulu Utara,Bengkulu
CUST001658,Belitung Timur,Kepulauan Bangka Belitung
CUST001659,Bengkulu Utara,Bengkulu
CUST001660,Lhokseumawe,Aceh
CUST001661,Bangka Tengah,Kepulauan Bangka Belitung
CUST001662,Medan,Sumatera Utara
CUST001663,Kampar,Riau
CUST001664,Lubuklinggau,Sumatera Selatan
CUST001665,Tanjungpinang,Kepulauan Riau
CUST001666,Natuna,Kepulauan Riau
CUST001667,Kepahiang,Bengkulu
CUST001668,Ogan Komering Ilir,Sumatera Selatan
CUST001669,Bengkulu,Bengkulu
CUST001670,Banda Aceh,Aceh
CUST001671,Sungai Penuh,Jambi
CUST001672,Belitung,Kepulauan Bangka Belitung
CUST001673,Bangka Tengah,Kepulauan Bangka Belitung
CUST001674,Natuna,Kepulauan Riau
CUST001675,Batam,Kepulauan Riau
CUST001676,Lampung Barat,Lampung
CUST001677,Bengkulu Tengah,Bengkulu
CUST001678,Natuna,Kepulauan Riau
CUST001679,Bangka,Kepulauan Bangka Belitung
CUST001680,Palembang,Sumatera Selatan
CUST001681,Bandar Lampung,Lampung
CUST001682,Bungo,Jambi
CUST001683,Medan,Sumatera Utara
CUST001684,Padangpanjang,Sumatera Barat
CUST001685,Batanghari,Jambi
CUST001686,Lampung Utara,Lampung
CUST001687,Indragiri Hulu,Riau
CUST001688,Lampung Barat,Lampung
CUST001689,Bandar Lampung,Lampung
CUST001690,Lampung Timur,Lampung
CUST001691,Lampung Barat,Lampung
CUST001692,Padangsidimpuan,Sumatera Utara
CUST001693,Banda Aceh,Aceh
CUST001694,Lhokseumawe,Aceh
CUST001695,Tanjungbalai,Sumatera Utara
CUST001696,Solok,Sumatera Barat
CUST001697,Indragiri Hulu,Riau
CUST001698,Sawahlunto,Sumatera Barat
CUST001699,Padangpanjang,Sumatera Barat
CUST001700,Bangka Selatan,Kepulauan Bangka Belitung
CUST001701,Metro,Lampung
CUST001702,Kaur,Bengkulu
CUST001703,Bukittinggi,Sumatera Barat
CUST001704,Bengkulu Tengah,Bengkulu
CUST001705,Subulussalam,Aceh
CUST001706,Indragiri Hilir,Riau
CUST001707,Karimun,Kepulauan Riau
CUST001708,Bengkulu,Bengkulu
CUST001709,Dumai,Riau
CUST001710,Muaro Jambi,Jambi
CUST001711,Sibolga,Sumatera Utara
CUST001712,Tebing Tinggi,Sumatera Utara
CUST001713,Bangka,Kepulauan Bangka Belitung
CUST001714,Pagar Alam,Sumatera Selatan
CUST001715,Indragiri Hilir,Riau
CUST001716,Padangsidimpuan,Sumatera Utara
CUST001717,Lampung Tengah,Lampung
CUST001718,Lahat,Sumatera Selatan
CUST001719,Bengkulu Utara,Bengkulu
CUST001720,Bengkulu Utara,Bengkulu
CUST001721,Padangsidimpuan,Sumatera Utara
CUST001722,Ogan Komering Ilir,Sumatera Selatan
CUST001723,Lampung Tengah,Lampung
CUST001724,Pariaman,Sumatera Barat
CUST001725,Kerinci,Jambi
CUST001726,Tanjungpinang,Kepulauan Riau
CUST001727,Padangpanjang,Sumatera Barat
CUST001728,Binjai,Sumatera Utara
CUST001729,Jambi,Jambi
CUST001730,Padangpanjang,Sumatera Barat
CUST001731,Sawahlunto,Sumatera Barat
CUST001732,Bengkulu Tengah,Bengkulu
CUST001733,Batam,Kepulauan Riau
CUST001734,Karimun,Kepulauan Riau
CUST001735,Rejang Lebong,Bengkulu
CUST001736,Lampung Timur,Lampung
CUST001737,Belitung,Kepulauan Bangka Belitung
CUST001738,Sawahlunto,Sumatera Barat
CUST001739,Payakumbuh,Sumatera Barat
CUST001740,Sungai Penuh,Jambi
CUST001741,Padangpanjang,Sumatera Barat
CUST001742,Lampung Tengah,Lampung
CUST001743,Lhokseumawe,Aceh
CUST001744,Sabang,Aceh
CUST001745,Bukittinggi,Sumatera Barat
CUST001746,Bengkulu Utara,Bengkulu
CUST001747,Belitung,Kepulauan Bangka Belitung
CUST001748,Lampung Selatan,Lampung
CUST001749,Lampung Selatan,Lampung
CUST001750,Lampung Selatan,Lampung
CUST001751,Padang,Sumatera Barat
CUST001752,Tanjungpinang,Kepulauan Riau
CUST001753,Bengkalis,Riau
CUST001754,Lhokseumawe,Aceh
CUST001755,Indragiri Hulu,Riau
CUST001756,Sungai Penuh,Jambi
CUST001757,Lampung Tengah,Lampung
CUST001758,Lampung Tengah,Lampung
CUST001759,Pangkalpinang,Kepulauan Bangka Belitung
CUST001760,Tanjungpinang,Kepulauan Riau
CUST001761,Muaro Jambi,Jambi
CUST001762,Belitung Timur,Kepulauan Bangka Belitung
CUST001763,Lahat,Sumatera Selatan
CUST001764,Sabang,Aceh
CUST001765,Bangka,Kepulauan Bangka Belitung
CUST001766,Bengkulu,Bengkulu
CUST001767,Bengkalis,Riau
CUST001768,Sabang,Aceh
CUST001769,Batanghari,Jambi
CUST001770,Pematangsiantar,Sumatera Utara
CUST001771,Tebing Tinggi,Sumatera Utara
CUST001772,Dumai,Riau
CUST001773,Natuna,Kepulauan Riau
CUST001774,Ogan Komering Ilir,Sumatera Selatan
CUST001775,Natuna,Kepulauan Riau
CUST001776,Rejang Lebong,Bengkulu
CUST001777,Batam,Kepulauan Riau
CUST001778,Pelalawan,Riau
CUST001779,Pelalawan,Riau
CUST001780,Subulussalam,Aceh
CUST001781,Lahat,Sumatera Selatan
CUST001782,Kerinci,Jambi
CUST001783,Bangka,Kepulauan Bangka Belitung
CUST001784,Musi Banyuasin,Sumatera Selatan
CUST001785,Batanghari,Jambi
CUST001786,Bintan,Kepulauan Riau
CUST001787,Belitung,Kepulauan Bangka Belitung
CUST001788,Binjai,Sumatera Utara
CUST001789,Bengkulu,Bengkulu
CUST001790,Muaro Jambi,Jambi
CUST001791,Solok,Sumatera Barat
CUST001792,Bukittinggi,Sumatera Barat
CUST001793,Solok,Sumatera Barat
CUST001794,Ogan Komering Ilir,Sumatera Selatan
CUST001795,Pelalawan,Riau
CUST001796,Bengkulu Tengah,Bengkulu
CUST001797,Sawahlunto,Sumatera Barat
CUST001798,Merangin,Jambi
CUST001799,Bengkulu Tengah,Bengkulu
CUST001800,Bandar Lampung,Lampung
CUST001801,Pematangsiantar,Sumatera Utara
CUST001802,Belitung,Kepulauan Bangka Belitung
CUST001803,Merangin,Jambi
CUST001804,Prabumulih,Sumatera Selatan
CUST001805,Lampung Barat,Lampung
CUST001806,Tanjungpinang,Kepulauan Riau
CUST001807,Tanjungbalai,Sumatera Utara
CUST001808,Lampung Timur,Lampung
CUST001809,Ogan Komering Ilir,Sumatera Selatan
CUST001810,Tebing Tinggi,Sumatera Utara
CUST001811,Bangka Selatan,Kepulauan Bangka Belitung
CUST001812,Indragiri Hilir,Riau
CUST001813,Indragiri Hilir,Riau
CUST001814,Batanghari,Jambi
CUST001815,Batanghari,Jambi
CUST001816,Bangka Tengah,Kepulauan Bangka Belitung
CUST001817,Sawahlunto,Sumatera Barat
CUST001818,Lampung Utara,Lampung
CUST001819,Musi Banyuasin,Sumatera Selatan
CUST001820,Banda Aceh,Aceh
CUST001821,Tanjungbalai,Sumatera Utara
CUST001822,Bandar Lampung,Lampung
CUST001823,Tebing Tinggi,Sumatera Utara
CUST001824,Payakumbuh,Sumatera Barat
CUST001825,Bandar Lampung,Lampung
CUST001826,Rejang Lebong,Bengkulu
CUST001827,Solok,Sumatera Barat
CUST001828,Sungai Penuh,Jambi
CUST001829,Jambi,Jambi
CUST001830,Pagar Alam,Sumatera Selatan
CUST001831,Padangsidimpuan,Sumatera Utara
CUST001832,Padang,Sumatera Barat
CUST001833,Kaur,Bengkulu
CUST001834,Merangin,Jambi
CUST001835,Indragiri Hilir,Riau
CUST001836,Tanjungbalai,Sumatera Utara
CUST001837,Medan,Sumatera Utara
CUST001838,Indragiri Hilir,Riau
CUST001839,Binjai,Sumatera Utara
CUST001840,Batam,Kepulauan Riau
CUST001841,Belitung,Kepulauan Bangka Belitung
CUST001842,Bandar Lampung,Lampung
CUST001843,Lhokseumawe,Aceh
CUST001844,Tebing Tinggi,Sumatera Utara
CUST001845,Kaur,Bengkulu
CUST001846,Payakumbuh,Sumatera Barat
CUST001847,Binjai,Sumatera Utara
CUST001848,Bengkulu,Bengkulu
CUST001849,Medan,Sumatera Utara
CUST001850,Pagar Alam,Sumatera Selatan
CUST001851,Sungai Penuh,Jambi
CUST001852,Kepahiang,Bengkulu
CUST001853,Solok,Sumatera Barat
CUST001854,Padang,Sumatera Barat
CUST001855,Bangka Tengah,Kepulauan Bangka Belitung
CUST001856,Subulussalam,Aceh
CUST001857,Payakumbuh,Sumatera Barat
CUST001858,Musi Banyuasin,Sumatera Selatan
CUST001859,Kampar,Riau
CUST001860,Payakumbuh,Sumatera Barat
CUST001861,Natuna,Kepulauan Riau
CUST001862,Lampung Utara,Lampung
CUST001863,Pekanbaru,Riau
CUST001864,Binjai,Sumatera Utara
CUST001865,Sibolga,Sumatera Utara
CUST001866,Bengkulu Selatan,Bengkulu
CUST001867,Bengkulu Selatan,Bengkulu
CUST001868,Bukittinggi,Sumatera Barat
CUST001869,Merangin,Jambi
CUST001870,Binjai,Sumatera Utara
CUST001871,Bangka Tengah,Kepulauan Bangka Belitung
CUST001872,Natuna,Kepulauan Riau
CUST001873,Bintan,Kepulauan Riau
CUST001874,Lhokseumawe,Aceh
CUST001875,Indragiri Hulu,Riau
CUST001876,Lingga,Kepulauan Riau
CUST001877,Kampar,Riau
CUST001878,Bengkulu Selatan,Bengkulu
CUST001879,Langsa,Aceh
CUST001880,Lampung Selatan,Lampung
CUST001881,Binjai,Sumatera Utara
CUST001882,Lampung Timur,Lampung
CUST001883,Tanjungpinang,Kepulauan Riau
CUST001884,Pangkalpinang,Kepulauan Bangka Belitung
CUST001885,Pagar Alam,Sumatera Selatan
CUST001886,Payakumbuh,Sumatera Barat
CUST001887,Karimun,Kepulauan Riau
CUST001888,Lahat,Sumatera Selatan
CUST001889,Pariaman,Sumatera Barat
CUST001890,Lampung Utara,Lampung
CUST001891,Medan,Sumatera Utara
CUST001892,Tanjungpinang,Kepulauan Riau
CUST001893,Lhokseumawe,Aceh
CUST001894,Pekanbaru,Riau
CUST001895,Sabang,Aceh
CUST001896,Bangka Barat,Kepulauan Bangka Belitung
CUST001897,Belitung Timur,Kepulauan Bangka Belitung
CUST001898,Bengkulu Tengah,Bengkulu
CUST001899,Bengkulu,Bengkulu
CUST001900,Bangka Tengah,Kepulauan Bangka Belitung
CUST001901,Batam,Kepulauan Riau
CUST001902,Jambi,Jambi
CUST001903,Jambi,Jambi
CUST001904,Bangka,Kepulauan Bangka Belitung
CUST001905,Sawahlunto,Sumatera Barat
CUST001906,Prabumulih,Sumatera Selatan
CUST001907,Natuna,Kepulauan Riau
CUST001908,Padangsidimpuan,Sumatera Utara
CUST001909,Kaur,Bengkulu
CUST001910,Pekanbaru,Riau
CUST001911,Pekanbaru,Riau
CUST001912,Bengkulu,Bengkulu
CUST001913,Lampung Tengah,Lampung
CUST001914,Tanjungpinang,Kepulauan Riau
CUST001915,Merangin,Jambi
CUST001916,Padang,Sumatera Barat
CUST001917,Langsa,Aceh
CUST001918,Langsa,Aceh
CUST001919,Lampung Barat,Lampung
CUST001920,Bangka Tengah,Kepulauan Bangka Belitung
CUST001921,Sungai Penuh,Jambi
CUST001922,Lubuklinggau,Sumatera Selatan
CUST001923,Merangin,Jambi
CUST001924,Tebing Tinggi,Sumatera Utara
CUST001925,Lhokseumawe,Aceh
CUST001926,Bengkulu Selatan,Bengkulu
CUST001927,Pangkalpinang,Kepulauan Bangka Belitung
CUST001928,Merangin,Jambi
CUST001929,Natuna,Kepulauan Riau
CUST001930,Pematangsiantar,Sumatera Utara
CUST001931,Lampung Tengah,Lampung
CUST001932,Palembang,Sumatera Selatan
CUST001933,Lampung Utara,Lampung
CUST001934,Batam,Kepulauan Riau
CUST001935,Lubuklinggau,Sumatera Selatan
CUST001936,Muaro Jambi,Jambi
CUST001937,Sibolga,Sumatera Utara
CUST001938,Binjai,Sumatera Utara
CUST001939,Pangkalpinang,Kepulauan Bangka Belitung
CUST001940,Banda Aceh,Aceh
CUST001941,Pekanbaru,Riau
CUST001942,Lampung Barat,Lampung
CUST001943,Rejang Lebong,Bengkulu
CUST001944,Pariaman,Sumatera Barat
CUST001945,Subulussalam,Aceh
CUST001946,Rejang Lebong,Bengkulu
CUST001947,Lubuklinggau,Sumatera Selatan
CUST001948,Kaur,Bengkulu
CUST001949,Pagar Alam,Sumatera Selatan
CUST001950,Sibolga,Sumatera Utara
CUST001951,Palembang,Sumatera Selatan
CUST001952,Belitung,Kepulauan Bangka Belitung
CUST001953,Langsa,Aceh
CUST001954,Pelalawan,Riau
CUST001955,Pangkalpinang,Kepulauan Bangka Belitung
CUST001956,Bengkulu,Bengkulu
CUST001957,Lampung Utara,Lampung
CUST001958,Muaro Jambi,Jambi
CUST001959,Batanghari,Jambi
CUST001960,Sibolga,Sumatera Utara
CUST001961,Bandar Lampung,Lampung
CUST001962,Lubuklinggau,Sumatera Selatan
CUST001963,Kerinci,Jambi
CUST001964,Merangin,Jambi
CUST001965,Batam,Kepulauan Riau
CUST001966,Lampung Barat,Lampung
CUST001967,Karimun,Kepulauan Riau
CUST001968,Kampar,Riau
CUST001969,Belitung Timur,Kepulauan Bangka Belitung
CUST001970,Dumai,Riau
CUST001971,Sabang,Aceh
CUST001972,Langsa,Aceh
CUST001973,Bangka Barat,Kepulauan Bangka Belitung
CUST001974,Lhokseumawe,Aceh
CUST001975,Sabang,Aceh
CUST001976,Jambi,Jambi
CUST001977,Indragiri Hulu,Riau
CUST001978,Indragiri Hilir,Riau
CUST001979,Bandar Lampung,Lampung
CUST001980,Solok,Sumatera Barat
CUST001981,Jambi,Jambi
CUST001982,Langsa,Aceh
CUST001983,Bangka Selatan,Kepulauan Bangka Belitung
CUST001984,Prabumulih,Sumatera Selatan
CUST001985,Sibolga,Sumatera Utara
CUST001986,Sibolga,Sumatera Utara
CUST001987,Solok,Sumatera Barat
CUST001988,Bengkulu,Bengkulu
CUST001989,Lingga,Kepulauan Riau
CUST001990,Sabang,Aceh
CUST001991,Bukittinggi,Sumatera Barat
CUST001992,Batanghari,Jambi
CUST001993,Ogan Komering Ilir,Sumatera Selatan
CUST001994,Kaur,Bengkulu
CUST001995,Pagar Alam,Sumatera Selatan
CUST001996,Lampung Barat,Lampung
CUST001997,Pekanbaru,Riau
CUST001998,Dumai,Riau
CUST001999,Tanjungpinang,Kepulauan Riau
CUST002000,Padang,Sumatera Barat
CUST002001,Payakumbuh,Sumatera Barat
CUST002002,Lampung Barat,Lampung
CUST002003,Bengkulu,Bengkulu
CUST002004,Bangka Barat,Kepulauan Bangka Belitung
CUST002005,Indragiri Hilir,Riau
CUST002006,Bungo,Jambi
CUST002007,Muaro Jambi,Jambi
CUST002008,Medan,Sumatera Utara
CUST002009,Pariaman,Sumatera Barat
CUST002010,Muaro Jambi,Jambi
CUST002011,Tanjungpinang,Kepulauan Riau
CUST002012,Pelalawan,Riau
CUST002013,Lubuklinggau,Sumatera Selatan
CUST002014,Tanjungbalai,Sumatera Utara
CUST002015,Bengkalis,Riau
CUST002016,Bengkulu Utara,Bengkulu
CUST002017,Lhokseumawe,Aceh
CUST002018,Muaro Jambi,Jambi
CUST002019,Padang,Sumatera Barat
CUST002020,Kepahiang,Bengkulu
CUST002021,Lampung Tengah,Lampung
CUST002022,Bangka,Kepulauan Bangka Belitung
CUST002023,Pematangsiantar,Sumatera Utara
CUST002024,Tebing Tinggi,Sumatera Utara
CUST002025,Padang,Sumatera Barat
CUST002026,Banda Aceh,Aceh
CUST002027,Dumai,Riau
CUST002028,Pelalawan,Riau
CUST002029,Bengkulu Selatan,Bengkulu
CUST002030,Sibolga,Sumatera Utara
CUST002031,Bintan,Kepulauan Riau
CUST002032,Medan,Sumatera Utara
CUST002033,Binjai,Sumatera Utara
CUST002034,Lampung Utara,Lampung
CUST002035,Padang,Sumatera Barat
CUST002036,Palembang,Sumatera Selatan
CUST002037,Sabang,Aceh
CUST002038,Langsa,Aceh
CUST002039,Karimun,Kepulauan Riau
CUST002040,Bengkulu Tengah,Bengkulu
CUST002041,Sabang,Aceh
CUST002042,Rejang Lebong,Bengkulu
CUST002043,Lubuklinggau,Sumatera Selatan
CUST002044,Padangpanjang,Sumatera Barat
CUST002045,Bungo,Jambi
CUST002046,Padang,Sumatera Barat
CUST002047,Lingga,Kepulauan Riau
CUST002048,Batam,Kepulauan Riau
CUST002049,Bungo,Jambi
CUST002050,Bengkulu Utara,Bengkulu
CUST002051,Bandar Lampung,Lampung
CUST002052,Padangsidimpuan,Sumatera Utara
CUST002053,Rejang Lebong,Bengkulu
CUST002054,Rejang Lebong,Bengkulu
